Brand,Product Name,pH,Ingredients,Image Link,Item Link
Krave Beauty,Beat the Sun SPF47 PA++++,N/A,"Water, Butyloctyl Salicylate, Dibutyl Adipate, Beta Vulgaris (Beet) Root Extract, Alcohol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ethylhexyl Triazone, Glycerin, Pentylene Glycol, Isoamyl p-Methoxycinnamate, Polysilicone-15, Inulin Lauryl Carbamate, Methyl Methacrylate Crosspolymer, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Methylpropanediol, Isohexadecane, Caprylyl Glycol, Glyceryl Caprylate, Polymethylsilsesquioxane, 1,2-Hexanediol, Polysorbate 80, Lithospermum Erythrorhizon Root Extract, Macadamia Ternifolia Seed Oil, Sorbitan Oleate, Ethylhexylglycerin, Allantoin, Epigallocatechin Gallate, Sodium Ascorbyl Phosphate, Butylene Glycol, Resveratrol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//sunscreen_kravebeauty.png,https://reissue.co/product/krave-beauty-beat-the-sun-spf47-pa----
Garnier,Micellar Water All-In-1 Cleansing Water,N/A,"Aqua/Water, Hexylene Glycol, Glycerin, Disodium Cocoamphodiacetate, Disodium EDTA, Poloxamer 184, Biguanide",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Clean_MicellarWater_AllSkin_400ml_New.png,https://reissue.co/product/garnier-micellar-water-all-in-1-cleansing-water
Glossier,Solution,N/A,"Aqua/Water/Eau, Sodium Hydroxide, Lactic Acid, Glycolic Acid, Gluconolactone, Propanediol, Ethoxydiglycol, Magnesium Chloride, Glycereth-7 Trimethyl Ether, Niacinamide, Betaine, Inositol, Citric Acid, Glycerin, Phytic Acid, Pentylene Glycol, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Ethylhexylglycerin, Parfum/Fragrance, PEG-8, Aloe Barbadensis Leaf Juice, Acetic Acid, Potassium Hydroxide.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Solution_Glossier.png,https://reissue.co/product/glossier-solution
Drunk Elephant,Protini™ Polypeptide Cream,N/A,"Water/Aqua/Eau, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract, Nymphaea Alba Root Extract, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Alanine, Arginine, Glycine, Histidine, Isoleucine, Phenylalanine, Proline, Serine, Threonine, Valine, Acetyl Glutamine, Coconut Alkanes, Coco-Caprylate/Caprate, Sodium Hyaluronate, Aspartic Acid, Linoleic Acid, Linolenic Acid, Lecithin, Butylene Glycol, Polyvinyl Alcohol, Sodium Lactate, Sodium PCA, PCA, Sorbitan Isostearate, Carbomer, Polysorbate 20, Polysorbate 60, Lactic Acid/Glycolic Acid Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Isomalt, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Tocopherol, Sodium Benzoate, Phenylpropanol, Glyceryl Caprylate, Symphytum Officinale Callus Culture Extract",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Protini_1024x1024.png,https://reissue.co/product/drunk-elephant-protini--polypeptide-cream
Biologique Recherche,Exfoliating Lotion P50,3.0,"Purified Water (Aqua), Glycerin, Lactic Acid, Usnic Acid, Witch Hazel Extract (Hamamelis Virginiana), Myrrh Extract (Commiphora Myrrha), Myrtle Extract (Mytrus Communis), Onion Extract (Allium Cepa), Sage Extract (Salvia Hispanica), Ascorbic Acid, Niacinamide, Polysorbate 80 (&) Sulphur.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//lotionp50.png,https://reissue.co/product/biologique-recherche-exfoliating-lotion-p50
Neutrogena,Hydro Boost Water Gel,N/A,"Water, Dimethicone, Glycerin, Dimethicone/vinyl Dimenticone Crosspolymer, Phenoxyethaqnol, Polyacrylamide, Cetearyl Olivate, Sorbitan Olivate, Dimethiconol, C13-14 Isoparaffin, Dimethicone Crosspolymer, Chlorphenesin, Carbomer, Laureth-7, Sodium Hyaluronate, Ethylhexylglycerin, Fragrance, C12-14 Pareth -12, Sodium Hydroxide, Blue 1",https://product-image-uploads.s3-ca-central-1.amazonaws.com//HydroBoostWaterGel_Neutrogena.png,https://reissue.co/product/neutrogena--hydro-boost-water-gel
Drunk Elephant,Shaba Complex™ Eye Serum,N/A,"Water/Aqua/Eau, Octyldodecanol, Glycerin, Boron Nitride, Saccharomyces/Xylinum/Black Tea Ferment, Coconut Alkanes, Cetyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Niacinamide, Copper Tripeptide-1, Leontopodium Alpinum Meristem Cell Culture, Dipeptide-2, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Copper Lysinate/Prolinate, Hesperidin Methyl Chalcone, Chondrus Crispus (Carrageenan), Mangifera Indica (Mango) Seed Butter, Glycine Soja (Soybean) Oil, Hippophae Rhamnoides Oil, Sclerocarya Birrea Seed Oil, Sodium Hyaluronate Crosspolymer, Hydroxyethylcellulose, Coco-Caprylate/Caprate, Steareth-20, Lecithin, Panthenol, N-Hydroxysuccinimide, Ubiquinone, Citric Acid, Thioctic Acid, Tocopherol, Chrysin, Sclerotium Gum, Methylglucoside Phosphate, Xanthan Gum, Potassium Sorbate, Sodium Benzoate, Chlorphenesin, Caprylyl Glycol, Sodium Hydroxide, Phenoxyethanol, Pentylene Glycol, Ethylhexylglycerin",https://product-image-uploads.s3-ca-central-1.amazonaws.com//shaba-15-web_1024x1024.png,https://reissue.co/product/drunk-elephant-shaba-complex--eye-serum
CeraVe,PM Facial Moisturizing Lotion,N/A,"Aqua, Glycerin, Caprylic/Capric Triglycerides, Niacinamide, Behentrimonium Methosulfate, Cetearyl Alcohol, Ceteareth-20 and Cetearyl Alcohol, Dimethicone, Ceramide NP, Ceramide AP, Ceramide EOP, Phytosphingosine, Cholesterol, Hyaluronic Acid, Sodium Lauroyl Lactylate, Polyglyceryl-3 Diisostearate, Disodium EDTA, Potassium Phosphate, Dipotassium Phosphate, Methylparaben, Propylparaben, Carbomer, Xanthan Gum.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//CeraVe_FacialLotionPM_v01.3.png,https://reissue.co/product/cerave-pm-facial-moisturizing-lotion
Whamisa,Organic Flowers Toner Deep Rich,N/A,"*Aloe Maculata Leaf Extract, Galactomyces Ferment Filtrate, *Glycerin, *Chrysanthemum Morifolium Flower Extract, *Avena Sativa (Oat) Kernel Extract, *Persea Gratissima (Avocado) Oil, *Argania Spinosa Kernel Oil, ***Scutellaria Baicalensis Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Hibiscus Sabdariffa Flower Extract, ***Paeonia Suffruticosa Root Extract, Lithospermum Erythrorhizon Root Extract, *Helichrysum Arenarium Flower Extract, Xanthan Gum, *Brassica Oleracea Italica (Broccoli) Extract,*Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/ Nelumbo Nucifera Flower Ferment Filtrate, *Lactobacillus/ Taraxacum Officinale (Dandelion) Rhizome/Root Ferment Filtrate, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cymbopogon Schoenanthus Oil, **Fragrance, d-Limonene, Linalool",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Organic-Flowers-Toner-Deep-Rich.png,https://reissue.co/product/whamisa-organic-flowers-toner-deep-rich
Ole Henriksen,Banana Bright™ Eye Crème,N/A,"Aqua/Water/Eau, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Isododecane, Coconut Alkanes, Tetrahexyldecyl Ascorbate, Polyglyceryl-3 Rice Branate, Polyglyceryl-3 Beeswax, Cetearyl Alcohol, 3-0-Ethyl Ascorbic Acid, Glycerin, Dilinoleic Acid/Propanediol Copolymer, Polymethylsilsesquioxane, Cocoyl Proline, Pentaerythrityl Tetraisostearate, Dimethicone Crosspolymer, HDI/Trimethylol Hexyllactone Crosspolymer, Polyacrylate-13, Mica, Polysorbate 20, Caprylyl Glycol, Titanium Dioxide (CI 77891), Polyglyceryl-6 Ricinoleate, Polyglyceryl-6 Caprylate, Polyglyceryl-4 Caprate, Polyglyceryl-3 Cocoate, Phenoxyethanol, Coco-Caprylate/Caprate, Polyisobutene, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum/Fragrance, Tamarindus Indica Seed Polysaccharide, Tocopheryl Acetate, Rosa Canina Fruit Extract, Lycium Barbarum Fruit Extract, Hippophae Rhamnoides Extract, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Sodium Hydroxide, Sorbic Acid, Iron Oxides (CI 77491), Leuconostoc/Radish Root Ferment Filtrate, Sorbitan Isostearate, Silica, Sodium Benzoate, Propanediol, Vegetable Collagen, Aroma/Flavor, Ascorbic Acid, Linoleic Acid, Pullulan, Nannochloropsis Oculata Extract, Linolenic Acid, Citric Acid, Potassium Sorbate, Tocopherol, Citral, Limonene, Linalool.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//BananaBrightEyeCreme_OleHenriksen.png,https://reissue.co/product/ole-henriksen-banana-bright--eye-cr-me
Bioré,UV Aqua Rich Watery Essence Sunscreen SPF50+ PA+++,N/A,"Water, Alcohol, Ethylhexyl Methoxycinnamate, Lauryl Methacrylate/Sodium Methacrylate Crosspolymer, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dimethicone, Acrylates/C10-30 Acrylate Crosspolymer, Glyceryl Stearate, Agar, Polyvinyl Alcohol, Sodium Hyaluronate, Citrus Grandis, Citrus Medica Limonum, Citrus Aurantium Dulcis, Xylitol, Butylene Glycol, Propylene Glycol, Sodium Hydroxide, Potassium Hydroxide, Phenoxyethanol, Disodium EDTA, BHT, Fragrance",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Biore_aquarich_watery_essence.png,https://reissue.co/product/biore--uv-aqua-rich-watery-essence-sunscreen-spf50--pa---
Caudalie,Instant Detox Mask,N/A,"Water, Bentonite, Glycerin*, Acacia Senegal Gum*, Xanthan Gum, Benzyl Alcohol, Alcohol*, Sodium Dehydroacetate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Vitis Vinifera (Grape) Fruit Extract*, Lavandula Angustifolia (Lavender) Oil*, Sodium Citrate, Dehydroacetic Acid, Coffea Arabica (Coffee) Seed Extract*, Coffea Robusta Seed Extract*, Citric Acid*, Papain*, Cupressus Sempervirens Oil*, Salvia Sclarea (Clary) Oil*, Commiphora Myrrha Oil*, Santalum Album (Sandalwood) Oil*, Anthemis Nobilis Flower Oil*, Petroselinum Crispum (Parsley) Seed Oil*, Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Sodium Benzoate, Lactic Acid, Potassium Sorbate, Algin, Limonene, Linalool. *Origine végétale - Plant origin - Origen vegetal - Origem vegetal - Origine vegetale - Pflanzlichen Ursprungs.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//instant_detox_mask.png,https://reissue.co/product/caudalie-instant-detox-mask
Sunday Riley,U.F.O Ultra Clarifying Face Oil,N/A,"Silybum Marianum (Milk Thistle) Seed Oil, Nigella Sativa (Black Cumin) Seed Oil, Cucumis Sativus (Cucumber) Seed Oil, Diisopropyl Sebacate, Punica Granatum (Pomegranate) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Dimethyl Isosorbide, Linum Usitatissimum (Flax) Seed Oil, Caprylic/Capric Triglycerides, Ethyl Linoleate, Hexylresorcinol, Glycyrrhiza Glabra (Licorice) Root Extract, Salicylic Acid, Prunus Armeniaca (Apricot) Kernel Oil, Chamomilla Recutita Flower Oil, Citrus Aurantium Amara (Neroli) Flower Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Helianthus Annuus Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Citrus Paradisii (Grapefruit) Peel Oil, Melia Azadirachta (Neem) Leaf Extract, Melia Azadirachta (Neem) Flower Extract, Coccinia Indica Fruit Extract, Amino Esters-1, Amber Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Lawsonia Inermis (Henna) Extract, Ocimum Sanctum Leaf Extract, Ocimum Basilicum (Basil) Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Pearl Powder, Moringa Pterygosperma Seed Oil.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//ufooil.png,https://reissue.co/product/sunday-riley-u-f-o-ultra-clarifying-face-oil
The Ordinary,Azelaic Acid Suspension 10%,4.5,"Aqua (Water), Isodecyl Neopentanoate, Dimethicone, Azelaic Acid, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Dimethyl Isosorbide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysilicone-11, Isohexadecane, Tocopherol, Trisodium Ethylenediamine Disuccinate, Isoceteth-20, Polysorbate 60, Triethanolamine, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-azelaic-acid-suspension-10pct-30ml.png,https://reissue.co/product/the-ordinary-azelaic-acid-suspension-10-
COSRX,Hyaluronic Acid Hydra Power Essence,N/A,"Hippophae Rhamnoides Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Sodium Hyaluronate, Panthenol, Ethyl Hexanediol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//solution02.png,https://reissue.co/product/cosrx-hyaluronic-acid-hydra-power-essence
The Body Shop,Tea Tree Oil,N/A,"Aqua/Water/Eau (Solvent), Alcohol Denat. (Solvent), Polysorbate 60 (Surfactant), Melaleuca Alternifolia Leaf Oil/Melaleuca Alternifolia (Tea Tree) Leaf Oil (Natural Additive), Limonene (Fragrance Ingredient), Calophyllum Inophyllum Seed Oil (Skin Conditioning Agent), Citral (Fragrance Ingredient), Citronellol (Fragrance Ingredient), Leptospermum Petersonii Oil (Fragrance Ingredient), Tocopherol (Antioxidant).",https://product-image-uploads.s3-ca-central-1.amazonaws.com//tea-tree-skin-clearing-facial-wash-1052120-60ml-6-640x640.png,https://reissue.co/product/the-body-shop-tea-tree-oil
Herbivore,Jasmine Green Tea Balancing Toner,N/A,"Jasminum Officinale (Jasmine) Flower Water, Aloe Barbadensis Leaf Water, Hamamelis Virginiana (Witch Hazel) Flower Water, Salix Alba (Willow) Bark Extract, Glycerin/Zingiber Officinale (Ginger) Root Extract, Leuconostoc/ (Leucidal) Radish Root Ferment Fillrate, Jasminum Grandiflorum (Jasmine) Flower Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Camellia Sinensis (Green Tea) Leaf Extract, Avena (Oat Avenanthramide) Sativa Kernel Extract, Potassium Sorbate, Melia Azadirachta Leaf Extract",https://product-image-uploads.s3-ca-central-1.amazonaws.com//jasminegreentea.png,https://reissue.co/product/herbivore-jasmine-green-tea-balancing-toner
Vichy,Minéral 89 Hyaluronic Acid Face Moisturizer,N/A,"Aqua, Phenoxyethanol, Caprylyl Glycol, Glycerin, Butylene Glycol, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Methyl Gluceth-20, Citric Acid, Sodium Hyaluronate (Hyaluronic Acid), Carbomer, Biosaccharide Gum-1.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//m89final.png,https://reissue.co/product/vichy-min-ral-89-hyaluronic-acid-face-moisturizer
Clinique,Moisture Surge 72-Hour Auto-Replenishing Hydrator,N/A,"Water\Aqua\Eau, Dimethicone, Butylene Glycol, Glycerin, Trisiloxane, Trehalose, Sucrose, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Hydroxyethyl Urea, Camellia Sinensis (Green Tea) Leaf Extract, Silybum Marianum (Lady's Thistle) Extract, Betula Alba (Birch) Bark Extract, Saccharomyces Lysate Extract, Aloe Barbadensis Leaf Water, Thermus Thermophillus Ferment, Caffeine, Sorbitol, Palmitoyl Hexapeptide-12, Sodium Hyaluronate, Caprylyl Glycol, Oleth-10, Sodium Polyaspartate, Saccharide Isomerate, Hydrogenated Lecithin, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Polymethacrylate, Tromethamine, PEG-8, Hexylene Glycol, Magnesium Ascorbyl Phosphate, Disodium EDTA, BHT, Phenoxyethanol, Red 4 (Ci 14700), Yellow 5 (Ci 19140)",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Clinique_Moisture_Surge_trade__72_Hour_Auto_Replenishing_Hydrator_30ml_1518191594_main.png,https://reissue.co/product/clinique-moisture-surge-72-hour-auto-replenishing-hydrator
Mario Badescu,"Facial Spray With Aloe, Herbs and Rosewater",N/A,"Aqua (Water, Eau), Propylene Glycol, Aloe Barbadensis Leaf Juice, Rosa Canina Extract, Thymus Vulgaris (Thyme) Leaf Extract, Fucus Vesiculosus Extract, Gardenia Florida Fruit Extract, Caprylyl Glycol, Hexylene Glycol, Polysorbate 20, Parfum (Fragrance), Phenoxyethanol, Sodium Chloride, Citronellol, Geraniol, CI 17200 (Red 33), CI 42090 (Blue 1)",https://product-image-uploads.s3-ca-central-1.amazonaws.com//facial-spray-with-aloe-herbs-and-rosewater.png,https://reissue.co/product/mario-badescu-facial-spray-with-aloe--herbs-and-rosewater
The Ordinary,Salicylic Acid 2% Solution,3.3,"Aqua (Water), Hamamelis Virginiana Leaf Water, Cocamidopropyl Dimethylamine, Salicylic Acid, Dimethyl Isosorbide, Trisodium Ethylenediamine Disuccinate, Citric Acid, Polysorbate 20, Hydroxyethylcellulose, Ethoxydiglycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-salicylic-acid-2pct-solution-30ml.png,https://reissue.co/product/the-ordinary-salicylic-acid-2--solution
Sunday Riley,Saturn Sulfur Acne Treatment Mask,N/A,"Water, Sulfur, Isoamyl Laurate, Cetyl Ethylhexanoate, Niacinamide, Gum Arabic, Bentonite, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyglyceryl-2 Caprate, Olive Oil Glyceryth-8 Esters, Zinc PCA, Allantoin, Dipotassium Glycyrrhizate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Leptospermum Scoparium (Manuka) Branch/Leaf Oil, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Melia Azadirachta Leaf Extract, Amber Powder, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Leaf Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Quartz, Polysorbate 60, Sorbitan Isostearate, Tocopherol, Disodium EDTA, Phenoxyethanol, Polysorbate 20, Alcohol Denat., Chlorphenesin, PEG-40 Hydrogenated Castor Oil, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Saturn_SundayRiley.png,https://reissue.co/product/sunday-riley-saturn-sulfur-acne-treatment-mask
COSRX,BHA Blackhead Power Liquid,4.0,"Salix Alba (Willow) Bark Water, Butylene Glycol, Betaine Salicylate, Niacinamide, 1,2-Hexanediol, Arginine, Panthenol, Sodium Hyaluronate, Xanthan Gum, Ethyl Hexanediol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//bha_powerliquid.png,https://reissue.co/product/cosrx-bha-blackhead-power-liquid
Lush,Mask of Magnaminty,N/A,"Bentone Gel (Hectorite), Kaolin, Honey Extract, Talc, Ground Aduki Beans (Phaseolus Angularis), Glycerine, Evening Primrose Seeds (Oenothera biennis), Peppermint Oil (Mentha Piperita), Tagetes Oil (Tagetes Minuta), Vanilla Absolute (Vanilla Planifolia), *Limonene, Fragrance, Methylparaben, Chlorophyllin (Chlorophyllin-Copper Complex).",https://product-image-uploads.s3-ca-central-1.amazonaws.com//maskofmagnity.png,https://reissue.co/product/lush-mask-of-magnaminty
Kiehl's,Calendula Herbal Extract Alcohol-Free Toner,N/A,"Aqua / Water / Eau, Propylene Glycol, Pentylene Glycol, Methylparaben, Disodium EDTA, Arctium Lappa Extract / Arctium Lappa Root Extract, Calendula Officinalis Extract / Calendula Officinalis Flower Extract, Hydrolyzed Corn Starch, Allantoin, Hedera Helix Extract - Ivy Leaf/Stem Extract, Althaea Officinalis / Althaea Officinalis Root Extract.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Calendula_Herbal_Extract_Alcohol_Free_Toner.png,https://reissue.co/product/kiehl-s-calendula-herbal-extract-alcohol-free-toner
Klairs,Midnight Blue Calming Cream,7.0,"Water, Cetyl Ethylhexanoate, Butylene Glycol, Glycerin, Sodium Hyaluronate, Caprylic/Capric Triglyceride, Centella Asiatica Extract, Sorbitan Stearate, Cetyl Alcohol, Butyrospermum Parkii (Shea) Butter, Argania Spinosa Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sorbitan Sesquioleate, Glyceryl Stearate, Stearic Acid, Portulaca Oleracea Extract, Anthemis Nobilis Flower Extract, Ceramide NP, Polysorbate 60, Bees Wax, Chlorphenesin, Tocopheryl Acetate, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Morus Alba Root Extract, Triethanolamine, Brassica Oleracea Italica (Broccoli) Extract, Guaiazulene, Acetyl Hexapeptide-8, Lecithin, Acetyl Glutamine, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment Extract, Caprylyl Glycol, 1,2-Hexanediol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//blue_calmingcream.png,https://reissue.co/product/klairs-midnight-blue-calming-cream
The Ordinary,Caffeine Solution 5% + EGCG,4.75,"Aqua (Water), Caffeine, Maltodextrin, Glycerin, Propanediol, Epigallocatechin Gallatyl Glucoside, Gallyl Glucoside, Hyaluronic Acid, Oxidized Glutathione, Melanin, Glycine Soja (Soybean) Seed Extract, Urea, Pentylene Glycol, Hydroxyethylcellulose, Polyacrylate Crosspolymer-6, Xanthan Gum, Lactic Acid, Dehydroacetic Acid, Trisodium Ethylenediamine Disuccinate, Propyl Gallate, Dimethyl Isosorbide, Benzyl Alcohol, 1,2-Hexanediol, Ethylhexylglycerin, Phenoxyethanol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-caffeine-solution-5pct-egcg-30ml.png,https://reissue.co/product/the-ordinary-caffeine-solution-5----egcg
Hada Labo,Goku-jyun Hyaluronic Acid Light Lotion,N/A,"Water, Dipropylene Glycol Dimethyl Ether, Alcohol, Glycerin, Disodium Succinate, Hydrolyzed Hyaluronic Acid, Methylparaben, PPG-10 Methyl Glucose Ether, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Succinic Acid",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Moisture_light-lotion.png,https://reissue.co/product/hada-labo-goku-jyun-hyaluronic-acid-light-lotion
Avene,Thermal Spring Water,N/A,,https://product-image-uploads.s3-ca-central-1.amazonaws.com//thermal_water.png,https://reissue.co/product/avene-thermal-spring-water
Mario Badescu,Anti Acne Serum,N/A,"Aqua (Water, Eau), Glycerin, Triethanolamine, Isopropyl Alcohol, Salicylic Acid, Propylene Glycol, Carbomer, Thymus Vulgaris (Thyme) Leaf Extract, Sodium Chloride, Methylparaben, Propylparaben, Diazolidinyl Urea, CI 19140 (Yellow 5), CI 15985 (Yellow 6)",https://product-image-uploads.s3-ca-central-1.amazonaws.com//anti-acne-serum.png,https://reissue.co/product/mario-badescu-anti-acne-serum
Summer Fridays,Jet Lag Mask,N/A,"Water, Caprylic /Capric Triglyceride, Castanea Sativa (Chestnut) Seed Extract, Diheptyl Succinate, Capryloyl Glycerin/Sebacic Acid Copolymer, Pentylene Glycol, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Niacinamide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Sorbitan Stearate, Glyceryl Stearate, PEG 100 Stearate, Phenoxyethanol, Ethylhexylglycerin, Physalis Angulata Extract, Ceramide 3, Ceramide 6 II, Ceramide 1, Phytosphingosine, Cholesterol, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum, Sodium Hyaluronate, Aminopropyl Ascorbyl Phosphate, Tetrasodium Glutamate Diacetate, Arginine, Citric Acid, Tocopheryl Acetate, Mentha Arvensis (Cornmint) Oil, Mentha Piperita (Peppermint) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Cucumis Sativus (Cucumber) Fruit Extract.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//ProductImagery_750x.png,https://reissue.co/product/summer-fridays-jet-lag-mask
Farmacy,Green Clean,N/A,"Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Polyethylene, Phenoxyethanol, Sorbitan Sesquioleate, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Amino Esters-1, Citrus Aurantium Dulcis (Orange) Peel Oil, Amber Powder, Cananga Odorata Flower Oil, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Moringa Oleifera Seed Oil, Zingiber Officinale (Ginger) Root Oil, Helianthus Annuus (Sunflower) Seed Oil, Water/ Aqua/ Eau, Glycerin, Butylene Glycol, Echinacea Purpurea Root Extract, Carica Papaya (Papaya) Fruit Extract, Moringa Pterygosperma Seed Extract, Disodium Phosphate, Citric Acid",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Farmacy_GreenClean_.png,https://reissue.co/product/farmacy-green-clean
Pyunkang Yul,Essence Toner,N/A,"Astragalus Membranaceus Root Extract, 1,2-Hexanediol, Butylene Glycol, Bis-PEG-18 Methyl Ether Dimethyl Silane, Hydroxyethylcellulose, Carbomer, Arginine",https://product-image-uploads.s3-ca-central-1.amazonaws.com//7JeQ7IS87Iqk7Yag64SI20067Kg7Iqk7Yq4.png,https://reissue.co/product/pyunkang-yul-essence-toner
